date,exposure_status-etat_verification,count-nombre
2021-03-28,exposed,5
2021-03-28,monitoring,0
2021-04-04,exposed,52
2021-04-04,monitoring,10
2021-04-11,exposed,170
2021-04-11,monitoring,19
2021-04-18,exposed,2
2021-04-18,monitoring,1
2021-04-25,exposed,1
2021-04-25,monitoring,0
2021-05-02,exposed,11
2021-05-02,monitoring,5
2021-05-09,exposed,67
2021-05-09,monitoring,19
2021-05-16,exposed,135
2021-05-16,monitoring,27
2021-05-23,exposed,29
2021-05-23,monitoring,12
2021-05-30,exposed,0
2021-05-30,monitoring,0
