date,exposure_status-etat_verification,count-nombre
2021-04-04,exposed-expose,0
2021-04-04,monitoring-surveillance,3
2021-04-11,exposed-expose,0
2021-04-11,monitoring-surveillance,8
2021-04-18,exposed-expose,0
2021-04-18,monitoring-surveillance,0
2021-04-25,exposed-expose,0
2021-04-25,monitoring-surveillance,4
2021-05-02,exposed-expose,0
2021-05-02,monitoring-surveillance,1
2021-05-09,exposed-expose,0
2021-05-09,monitoring-surveillance,2
2021-05-16,exposed-expose,0
2021-05-16,monitoring-surveillance,4
2021-05-23,exposed-expose,0
2021-05-23,monitoring-surveillance,2
2021-05-30,exposed-expose,1
2021-05-30,monitoring-surveillance,0
2021-06-06,exposed-expose,0
2021-06-06,monitoring-surveillance,0
2021-06-13,exposed-expose,0
2021-06-13,monitoring-surveillance,0
2021-06-20,exposed-expose,0
2021-06-20,monitoring-surveillance,1
2021-06-27,exposed-expose,0
2021-06-27,monitoring-surveillance,15
2021-07-04,exposed-expose,0
2021-07-04,monitoring-surveillance,3
2021-07-11,exposed-expose,0
2021-07-11,monitoring-surveillance,1
2021-07-18,exposed-expose,0
2021-07-18,monitoring-surveillance,0
2021-07-25,exposed-expose,0
2021-07-25,monitoring-surveillance,0
