date,number_of_checks-no_verification,os-se,count-nombre
2021-03-07,0,android,<20
2021-03-07,0,ios,<20
2021-03-07,1-6,android,<20
2021-03-07,1-6,ios,<20
2021-03-07,7-12,android,<20
2021-03-07,7-12,ios,<20
2021-03-07,13-30,android,<20
2021-03-07,13-30,ios,<20
2021-03-07,30+,android,<20
2021-03-07,30+,ios,<20
2021-03-14,0,android,<20
2021-03-14,0,ios,<20
2021-03-14,1-6,android,<20
2021-03-14,1-6,ios,<20
2021-03-14,7-12,android,<20
2021-03-14,7-12,ios,<20
2021-03-14,13-30,android,<20
2021-03-14,13-30,ios,<20
2021-03-14,30+,android,<20
2021-03-14,30+,ios,<20
2021-03-21,0,android,<20
2021-03-21,0,ios,<20
2021-03-21,1-6,android,<20
2021-03-21,1-6,ios,<20
2021-03-21,7-12,android,<20
2021-03-21,7-12,ios,<20
2021-03-21,13-30,android,<20
2021-03-21,13-30,ios,<20
2021-03-21,30+,android,<20
2021-03-21,30+,ios,<20
2021-03-28,0,android,<20
2021-03-28,0,ios,<20
2021-03-28,1-6,android,<20
2021-03-28,1-6,ios,<20
2021-03-28,7-12,android,<20
2021-03-28,7-12,ios,<20
2021-03-28,13-30,android,20
2021-03-28,13-30,ios,<20
2021-03-28,30+,android,<20
2021-03-28,30+,ios,<20
2021-04-04,0,android,<20
2021-04-04,0,ios,<20
2021-04-04,1-6,android,<20
2021-04-04,1-6,ios,<20
2021-04-04,7-12,android,<20
2021-04-04,7-12,ios,32
2021-04-04,13-30,android,<20
2021-04-04,13-30,ios,<20
2021-04-04,30+,android,<20
2021-04-04,30+,ios,<20
2021-04-11,0,android,<20
2021-04-11,0,ios,<20
2021-04-11,1-6,android,<20
2021-04-11,1-6,ios,<20
2021-04-11,7-12,android,<20
2021-04-11,7-12,ios,32
2021-04-11,13-30,android,<20
2021-04-11,13-30,ios,<20
2021-04-11,30+,android,<20
2021-04-11,30+,ios,<20
2021-04-18,0,android,<20
2021-04-18,0,ios,<20
2021-04-18,1-6,android,<20
2021-04-18,1-6,ios,<20
2021-04-18,7-12,android,<20
2021-04-18,7-12,ios,33
2021-04-18,13-30,android,<20
2021-04-18,13-30,ios,<20
2021-04-18,30+,android,<20
2021-04-18,30+,ios,<20
2021-04-25,0,android,<20
2021-04-25,0,ios,<20
2021-04-25,1-6,android,<20
2021-04-25,1-6,ios,<20
2021-04-25,7-12,android,<20
2021-04-25,7-12,ios,31
2021-04-25,13-30,android,<20
2021-04-25,13-30,ios,<20
2021-04-25,30+,android,<20
2021-04-25,30+,ios,<20
2021-05-02,0,android,<20
2021-05-02,0,ios,<20
2021-05-02,1-6,android,<20
2021-05-02,1-6,ios,22
2021-05-02,7-12,android,<20
2021-05-02,7-12,ios,35
2021-05-02,13-30,android,<20
2021-05-02,13-30,ios,<20
2021-05-02,30+,android,<20
2021-05-02,30+,ios,<20
2021-05-09,0,android,<20
2021-05-09,0,ios,<20
2021-05-09,1-6,android,<20
2021-05-09,1-6,ios,23
2021-05-09,7-12,android,<20
2021-05-09,7-12,ios,55
2021-05-09,13-30,android,<20
2021-05-09,13-30,ios,<20
2021-05-09,30+,android,<20
2021-05-09,30+,ios,<20
2021-05-16,0,android,<20
2021-05-16,0,ios,<20
2021-05-16,1-6,android,<20
2021-05-16,1-6,ios,28
2021-05-16,7-12,android,<20
2021-05-16,7-12,ios,48
2021-05-16,13-30,android,<20
2021-05-16,13-30,ios,<20
2021-05-16,30+,android,<20
2021-05-16,30+,ios,<20
2021-05-23,0,android,<20
2021-05-23,0,ios,<20
2021-05-23,1-6,android,<20
2021-05-23,1-6,ios,<20
2021-05-23,7-12,android,<20
2021-05-23,7-12,ios,20
2021-05-23,13-30,android,<20
2021-05-23,13-30,ios,<20
2021-05-23,30+,android,<20
2021-05-23,30+,ios,<20
2021-05-30,0,android,<20
2021-05-30,0,ios,<20
2021-05-30,1-6,android,<20
2021-05-30,1-6,ios,<20
2021-05-30,7-12,android,<20
2021-05-30,7-12,ios,<20
2021-05-30,13-30,android,<20
2021-05-30,13-30,ios,<20
2021-05-30,30+,android,<20
2021-05-30,30+,ios,<20
2021-06-06,0,android,<20
2021-06-06,0,ios,<20
2021-06-06,1-6,android,<20
2021-06-06,1-6,ios,<20
2021-06-06,7-12,android,<20
2021-06-06,7-12,ios,<20
2021-06-06,13-30,android,<20
2021-06-06,13-30,ios,<20
2021-06-06,30+,android,<20
2021-06-06,30+,ios,<20
2021-06-13,0,android,<20
2021-06-13,0,ios,<20
2021-06-13,1-6,android,<20
2021-06-13,1-6,ios,<20
2021-06-13,7-12,android,<20
2021-06-13,7-12,ios,<20
2021-06-13,13-30,android,<20
2021-06-13,13-30,ios,<20
2021-06-13,30+,android,<20
2021-06-13,30+,ios,<20
2021-06-20,0,android,<20
2021-06-20,0,ios,<20
2021-06-20,1-6,android,<20
2021-06-20,1-6,ios,<20
2021-06-20,7-12,android,<20
2021-06-20,7-12,ios,<20
2021-06-20,13-30,android,<20
2021-06-20,13-30,ios,<20
2021-06-20,30+,android,<20
2021-06-20,30+,ios,<20
2021-06-27,0,android,<20
2021-06-27,0,ios,<20
2021-06-27,1-6,android,<20
2021-06-27,1-6,ios,<20
2021-06-27,7-12,android,<20
2021-06-27,7-12,ios,<20
2021-06-27,13-30,android,<20
2021-06-27,13-30,ios,<20
2021-06-27,30+,android,<20
2021-06-27,30+,ios,<20
2021-07-04,0,android,<20
2021-07-04,0,ios,<20
2021-07-04,1-6,android,<20
2021-07-04,1-6,ios,20
2021-07-04,7-12,android,<20
2021-07-04,7-12,ios,32
2021-07-04,13-30,android,<20
2021-07-04,13-30,ios,<20
2021-07-04,30+,android,<20
2021-07-04,30+,ios,<20
2021-07-11,0,android,<20
2021-07-11,0,ios,<20
2021-07-11,1-6,android,<20
2021-07-11,1-6,ios,20
2021-07-11,7-12,android,<20
2021-07-11,7-12,ios,45
2021-07-11,13-30,android,<20
2021-07-11,13-30,ios,<20
2021-07-11,30+,android,<20
2021-07-11,30+,ios,<20
2021-07-18,0,android,<20
2021-07-18,0,ios,<20
2021-07-18,1-6,android,<20
2021-07-18,1-6,ios,<20
2021-07-18,7-12,android,<20
2021-07-18,7-12,ios,39
2021-07-18,13-30,android,<20
2021-07-18,13-30,ios,<20
2021-07-18,30+,android,<20
2021-07-18,30+,ios,<20
